item	label	advice	label_correct	advice_correct	description
aerosol cans	aluminum cans	yes	0	1	plausible wrong label
battery	candy wrapper	no	0	1	hallucination
clamshell container	wide mouthed container	yes	0	0	plausible wrong label
construction paper	napkins	no	0	0	plausible wrong label
envelope	parchment paper	no	0	0	hallucination	
glass bottle	dirty glass bottle	no	0	0	plausible wrong state
glass cup	clean glass jar	yes	0	0	plausible wrong label
napkins	clean paper	yes	0	0	plausible wrong label
pizza box	clean pizza box	yes	0	0	plausible wrong state
plastic bottle	plastic jug	yes	0	1	plausible wrong label
